,16,1,RTX 3090 TI RGB GAMING,img_productos/tarjetas_graficas/RTX_3090_TI.png,especif_productos/prueba.md,especif_productos/tabla_prueba.md,10350000
,18,1,RTX 3080 GAMING X TRIO,img_productos/tarjetas_graficas/RTX_3080_TRIO.png,Desc2,,5250000
,17,1,3070 TI ROG STRIX,img_productos/tarjetas_graficas/RTX_3070_TI_ROG.png,Desc3,,4350000
,17,1,RTX 3070 ROG STRIX WHITE,img_productos/tarjetas_graficas/RTX_3070_WHITE.png,Desc4,,4010000
,17,1,RTX 3060 ROG STRIX,img_productos/tarjetas_graficas/RTX_3060_ROG.png,Desc5,,3150000
,18,1,GeForce RTX™ 3060 Ti VENTUS,img_productos/tarjetas_graficas/RTX_3060_TI_VENTUS.png,Desc6,,3350000
,20,1,RTX 3060 PHOENIX 12GB,img_productos/tarjetas_graficas/RTX_3060_PHOENIX.png,Desc7,,2950000
,33,1,RTX 2060 STORM 12GBS,img_productos/tarjetas_graficas/RTX_2060_STORM.png,Desc8,,2750000
,15,1,SUPER GTX 1660 WINDFORCE,img_productos/tarjetas_graficas/GTX_1660_WIND.png,Desc9,,1950000
,19,1,SUPER GTX 1660 VENTUS XS 6GB - MSI,img_productos/tarjetas_graficas/GTX_1660_VENTUS_MSI.png,Desc10,,1910000
,18,1,GTX 1660 TI DUAL - MSI,img_productos/tarjetas_graficas/GTX_1660_DUAL_MSI.png,Desc11,,2250000
,20,1,RTX 3060 KO GAMING OC RGB 12GB - ASUS,img_productos/tarjetas_graficas/RTX_3060_KO.png,Desc12,,2950000
,15,1,GTX 1660 TI WINDFORCE,img_productos/tarjetas_graficas/GTX_1660_WIND.png,Desc13,,2250000
,18,1,SUPER GTX 1660 GAMING X,img_productos/tarjetas_graficas/SUPER_GTX_1660_X.png,Desc14,,2010000
,18,1,GTX 1650 GAMING X MSI,img_productos/tarjetas_graficas/GTX_1650_G_MSI.png,Desc15,,1510000
,20,1,GTX 1650 TUF GAMING,img_productos/tarjetas_graficas/GTX_1650_TUF.png,Desc16,,1490000
,18,1,GTX 1650 VENTUS XS D6 MSI,img_productos/tarjetas_graficas/GTX_1650_VENTUS_MSI.png,Desc17,,1450000
